Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ
Date,,,,,,,,,,
2021-01-23,32067.642578125,,33360.9765625,,31493.16015625,,32985.7578125,,48354737975,
2021-01-24,32289.37890625,,32944.0078125,,31106.685546875,,32064.376953125,,48643830599,
2021-01-25,32366.392578125,318.81744384765625,34802.7421875,320.96487485440986,32087.787109375,312.30721517001086,32285.798828125,319.5948045016656,59897054838,39080600.0
2021-01-26,32569.849609375,319.2838134765625,32794.55078125,320.42069029323125,31030.265625,317.95261876480964,32358.61328125,319.5364593587717,60255421470,25498100.0
2021-01-27,30432.546875,310.38311767578125,32564.029296875,317.02939209247404,29367.138671875,308.3717369612757,32564.029296875,317.0196954760264,62576762015,55264000.0
2021-01-28,33466.09765625,312.2197265625,33858.3125,317.1752925864359,30023.20703125,310.9662530595183,30441.041015625,311.58814150087363,76517157706,42836300.0
2021-01-29,34316.38671875,305.65118408203125,38406.26171875,311.63672715135516,32064.814453125,303.9021746576793,34318.671875,310.52899943686447,117894572511,55259000.0
2021-01-30,34269.5234375,,34834.70703125,,32940.1875,,34295.93359375,,65141828798,
2021-01-31,33114.359375,,34288.33203125,,32270.17578125,,34270.87890625,,52754542671,
2021-02-01,33537.17578125,313.2885437011719,34638.21484375,314.37681869838985,32384.228515625,307.06977859717813,33114.578125,309.10058277114206,61400400660,35646000.0
2021-02-02,35510.2890625,318.3995056152344,35896.8828125,319.55580504606223,33489.21875,316.09663302462843,33533.19921875,316.26183136614617,63088585433,33930800.0
2021-02-03,37472.08984375,317.1363525390625,37480.1875,320.84817057739554,35443.984375,317.078054216221,35510.8203125,320.47892809722134,61166818159,24824500.0
2021-02-04,36926.06640625,320.8871154785156,38592.17578125,320.97456298979023,36317.5,317.2141717386008,37475.10546875,318.5356699888394,68838074392,22350900.0
2021-02-05,38144.30859375,321.975341796875,38225.90625,322.9858956402053,36658.76171875,320.19718336454713,36931.546875,321.83932223998204,58598066402,22732000.0
2021-02-06,39266.01171875,,40846.546875,,38138.38671875,,38138.38671875,,71326033653,
2021-02-07,38903.44140625,,39621.8359375,,37446.15234375,,39250.19140625,,65500641143,
2021-02-08,46196.46484375,324.1324157714844,46203.9296875,324.2878878490053,38076.32421875,322.02389058662766,38886.828125,323.66602919218826,101467222687,20462800.0
2021-02-09,46481.10546875,324.0644836425781,48003.72265625,325.32765374402766,45166.9609375,323.1899493303581,46184.9921875,323.1996756037342,91809846886,17597500.0
2021-02-10,44918.18359375,323.32598876953125,47145.56640625,325.9592289401402,43881.15234375,320.1680339581083,46469.76171875,325.5025389043574,87301089896,28068700.0
2021-02-11,47909.33203125,325.1041564941406,48463.46875,325.512274482723,44187.76171875,322.7138358560793,44898.7109375,324.86123688631767,81388911810,22046100.0
2021-02-12,47504.8515625,326.921142578125,48745.734375,327.0863112664615,46424.9765625,323.20932473363064,47877.03515625,324.25872414324294,76555041196,20346800.0
2021-02-13,47105.515625,,48047.74609375,,46392.28125,,47491.203125,,70250456155,
2021-02-14,48717.2890625,,49487.640625,,47114.5078125,,47114.5078125,,71248675228,
2021-02-15,47945.05859375,,48875.5703125,,46347.4765625,,48696.53515625,,77069903166,
2021-02-16,49199.87109375,326.0370178222656,50341.1015625,328.61195996106966,47201.3046875,324.87099174082323,47944.45703125,327.7180026781938,77049582886,27080800.0
2021-02-17,52149.0078125,324.4725646972656,52533.9140625,326.1535790236228,49072.37890625,320.81907403580595,49207.27734375,323.05392251999575,80820545404,31360300.0
